"US general imports, monthly, HS10 line items. Source: US Census Bureau international trade API (api.census.gov), pulled 2026-09. Unit value = customs value / quantity. Customs value excludes duty, freight and insurance.",,,,,,,,,,,
month,hts10,commodity,group,census_description,customs_value_usd,quantity,unit,unit_value_usd_per_unit,china_value_usd,china_quantity,china_share_of_value_pct
2024-12,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,1569731,33695,KG,46.5865,,,
2025-01,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,1726756,32010,KG,53.9443,,,
2025-02,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,1791063,38537,KG,46.4765,,,
2025-03,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,921936,16547,KG,55.7162,,,
2025-04,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,2251791,51510,KG,43.7156,,,
2025-05,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,891351,19449,KG,45.8302,,,
2025-06,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,1737070,37062,KG,46.8693,,,
2025-07,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,2508960,54861,KG,45.733,,,
2025-08,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,1208904,26542,KG,45.5468,,,
2025-09,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,690800,13842,KG,49.9061,,,
2025-10,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,1207589,24817,KG,48.6597,,,
2025-11,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,1217369,24347,KG,50.0008,,,
2025-12,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,1391494,26068,KG,53.3794,,,
2026-01,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,554950,11900,KG,46.6345,,,
2026-02,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,1484990,22795,KG,65.1454,,,
2026-03,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,4021114,64269,KG,62.5669,,,
2026-04,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,2017103,31220,KG,64.6093,,,
