"H2a final rankings, completed pool + corrected diamond (6 exams x 99 rows, per-row source flags).",,,,,,,,
exam_id,commodity,news_context,vis_lognorm,share_element,latent_lev_element,rank_lev_element,status,share_source_flag
B,antimony,220,0.4659,54.5,0.2911,30,,v1
B,arsenic,726,0.5687,39.3,0.1695,40,,v1
B,asbestos,571,0.548,14,0.0633,60,,filled_2026-08-15
B,barite,56,0.349,24.1,0.1569,41,,v1
B,bauxite and alumina,319,0.4979,58.6,0.2943,29,,filled_2026-08-15
B,beryllium,99,0.3975,25,0.1506,43,,v1
B,bismuth,98,0.3966,80,0.4827,19,,v1
B,boron,398,0.5169,6,0.029,68,,filled_2026-08-15
B,bromine,202,0.4586,25,0.1354,47,,filled_2026-08-15
B,cadmium,525,0.5408,41.7,0.1915,38,,v1
B,cement,5567,0.7444,51,0.1304,49,,filled_2026-08-15
B,cerium,75,0.3738,88,0.5511,15,,REE_element_file
B,cesium,235,0.4716,,,,no_share_data,v1
B,chromium,420,0.5215,0,0,84,,v1
B,clays,163,0.4402,,,,no_share_data,v1
B,cobalt,3847,0.7125,1.2,0.0034,81,,v1
B,copper,10683,0.8007,8.6,0.0171,76,,v1
B,diamond (industrial),37,0.314,95,0.6517,8,,diamond_term_corrected_2026-08-15
B,diatomite,36,0.3117,17,0.117,52,,filled_2026-08-15
B,dysprosium,145,0.4301,99,0.5642,14,,REE_element_file
B,erbium,26,0.2845,99,0.7084,4,,REE_element_file
B,europium,24,0.2778,98,0.7077,5,,REE_element_file
B,feldspar,114,0.4095,8.6,0.0508,64,,v1
B,fluorspar,23,0.2743,68.7,0.4986,18,,v1
B,gadolinium,51,0.341,98,0.6458,9,,REE_element_file
B,gallium,573,0.5483,98.2,,,already_controlled,v1
B,garnet (industrial),200,0.4577,17,0.0922,55,,filled_2026-08-15
B,gemstones,435,0.5246,,,,no_share_data,v1
B,germanium,263,0.4813,65.4,,,already_controlled,v1
B,gold,33320,0.8988,10.6,0.0107,78,,v1
B,graphite (natural),1671,0.6406,65.4,0.2351,35,,v1
B,gypsum,349,0.5056,15,0.0742,57,,filled_2026-08-15
B,hafnium,25,0.2812,3,0.0216,72,,v1
B,helium,985,0.595,0.6,0.0024,83,,v1
B,holmium,18,0.2541,99,0.7384,1,,REE_element_file
B,indium,188,0.4524,58.9,0.3225,27,,v1
B,iodine,406,0.5186,1,0.0048,80,,filled_2026-08-15
B,iron and steel,885,0.5858,54,0.2237,36,,filled_2026-08-15
B,iron and steel scrap,69,0.3667,,,,no_share_data,v1
B,iron and steel slag,6,0.168,54,0.4493,21,,filled_2026-08-15
B,iron ore,2062,0.6587,14.6,0.0498,65,,v1
B,iron oxide pigments,150,0.433,,,,no_share_data,v1
B,kyanite,6,0.168,15,0.1248,50,,filled_2026-08-15
B,lanthanum,56,0.349,88,0.5729,13,,REE_element_file
B,lead,107591,1,44.4,0,85,,v1
B,lime,1880,0.6507,72,0.2515,33,,filled_2026-08-15
B,lithium,11399,0.8063,14.6,0.0283,69,,v1
B,lutetium,87,0.3864,99,0.6074,11,,REE_element_file
B,magnesium compounds,7,0.1795,63.8,0.5235,16,,filled_2026-08-15
B,magnesium metal,1295,0.6186,90,0.3433,25,,v1
B,manganese,1334,0.6211,5,0.0189,74,,v1
B,mercury,3238,0.6976,85,0.257,32,,filled_2026-08-15
B,mica (natural),281,0.487,25.6,0.1313,48,,v1
B,molybdenum,607,0.5533,40,0.1787,39,,v1
B,neodymium,261,0.4806,90,0.4675,20,,REE_element_file
B,nickel,6736,0.7609,3.3,0.0079,79,,v1
B,niobium,217,0.4647,0,0,86,,v1
B,nitrogen (fixed)-ammonia,2197,0.6642,26,0.0873,56,,filled_2026-08-15
B,peat,575,0.5486,4,0.0181,75,,filled_2026-08-15
B,perlite,82,0.3814,10,0.0619,61,,filled_2026-08-15
B,phosphate rock,67,0.3642,38.6,0.2454,34,,v1
B,platinum-group metals,4630,0.7285,1,0.0027,82,,filled_2026-08-15
B,potash,749,0.5714,15,0.0643,59,,v1
B,praseodymium,144,0.4295,90,0.5134,17,,REE_element_file
B,pumice and pumicite,359,0.508,3,0.0148,77,,filled_2026-08-15
B,quartz crystal (industrial),21,0.2668,,,,no_share_data,v1
B,rhenium,67,0.3642,4.3,0.0273,70,,v1
B,rubidium,69,0.3667,,,,no_share_data,v1
B,salt,10391,0.7983,22,0.0444,66,,filled_2026-08-15
B,samarium,37,0.314,97,0.6655,6,,REE_element_file
B,sand and gravel,154,0.4353,,,,no_share_data,v1
B,scandium,122,0.4153,68,0.3976,23,,filled_2026-08-15
B,selenium,250,0.4769,40.6,0.2124,37,,v1
B,silicon,9898,0.7941,68,0.14,45,,filled_2026-08-15
B,silver,15821,0.8345,13.8,0.0228,71,,v1
B,soda ash,111,0.4073,46,0.2727,31,,filled_2026-08-15
B,stone,12493,0.8142,,,,no_share_data,v1
B,strontium,86,0.3855,23.5,0.1444,44,,v1
B,sulfur,1459,0.6289,19,0.0705,58,,filled_2026-08-15
B,talc and pyrophyllite,184,0.4506,28,0.1538,42,,filled_2026-08-15
B,tantalum,315,0.4968,3.9,0.0196,73,,v1
B,tellurium,65,0.3616,53.1,0.339,26,,v1
