"H2a final rankings, completed pool + corrected diamond (6 exams x 99 rows, per-row source flags).",,,,,,,,
exam_id,commodity,news_context,vis_lognorm,share_element,latent_lev_element,rank_lev_element,status,share_source_flag
E1,kyanite,2,0.0961,15,0.1356,40,,filled_2026-08-15
E1,lanthanum,66,0.3676,88,0.5565,15,,REE_element_file
E1,lead,92664,1,44.4,0,78,,v1
E1,lime,1633,0.6469,72,0.2542,29,,filled_2026-08-15
E1,lithium,9757,0.8032,14.6,0.0287,62,,v1
E1,lutetium,75,0.3787,99,0.6151,9,,REE_element_file
E1,magnesium compounds,5,0.1567,63.8,0.538,16,,filled_2026-08-15
E1,magnesium metal,1131,0.6148,90,0.3467,23,,v1
E1,manganese,994,0.6035,5,0.0198,66,,v1
E1,mercury,2594,0.6874,85,0.2657,28,,filled_2026-08-15
E1,mica (natural),312,0.5024,25.6,0.1274,43,,v1
E1,molybdenum,708,0.5739,40,,,already_controlled,v1
E1,neodymium,272,0.4905,90,0.4586,19,,REE_element_file
E1,nickel,5652,0.7554,3.3,0.0081,72,,v1
E1,niobium,123,0.4215,0,0,79,,v1
E1,nitrogen (fixed)-ammonia,1702,0.6505,26,0.0909,49,,filled_2026-08-15
E1,peat,785,0.5829,4,0.0167,68,,filled_2026-08-15
E1,perlite,49,0.342,10,0.0658,53,,filled_2026-08-15
E1,phosphate rock,29,0.2974,38.6,0.2712,27,,v1
E1,platinum-group metals,3714,0.7187,1,0.0028,75,,filled_2026-08-15
E1,potash,512,0.5456,15,0.0682,52,,v1
E1,praseodymium,120,0.4193,90,0.5226,17,,REE_element_file
E1,pumice and pumicite,367,0.5166,3,0.0145,70,,filled_2026-08-15
E1,quartz crystal (industrial),17,0.2527,,,,no_share_data,v1
E1,rhenium,64,0.365,4.3,0.0273,63,,v1
E1,rubidium,51,0.3455,,,,no_share_data,v1
E1,salt,8316,0.7892,22,0.0464,59,,filled_2026-08-15
E1,samarium,41,0.3268,97,0.653,6,,REE_element_file
E1,sand and gravel,137,0.4308,,,,no_share_data,v1
E1,scandium,61,0.3609,68,0.4346,20,,filled_2026-08-15
E1,selenium,204,0.4654,40.6,0.217,30,,v1
E1,silicon,8103,0.7869,68,0.1449,38,,filled_2026-08-15
E1,silver,13848,0.8338,13.8,0.0229,65,,v1
E1,soda ash,76,0.3798,46,0.2853,25,,filled_2026-08-15
E1,stone,12990,0.8282,,,,no_share_data,v1
E1,strontium,72,0.3751,23.5,0.1468,37,,v1
E1,sulfur,1225,0.6218,19,0.0719,51,,filled_2026-08-15
E1,talc and pyrophyllite,171,0.4501,28,0.154,35,,filled_2026-08-15
E1,tantalum,316,0.5035,3.9,0.0194,67,,v1
E1,tellurium,113,0.4141,53.1,,,already_controlled,v1
E1,terbium,110,0.4118,99,0.5823,12,,REE_element_file
E1,thallium,11,0.2173,,,,no_share_data,v1
E1,thorium,117,0.4171,,,,no_share_data,v1
E1,thulium,15,0.2424,99,0.75,2,,REE_element_file
E1,tin,1757,0.6533,30.6,0.1061,46,,v1
E1,titanium,1753,0.6531,35.8,0.1242,44,,v1
E1,tungsten,475,0.5391,84.5,,,already_controlled,v1
E1,vanadium,297,0.4981,70,0.3513,22,,v1
E1,vermiculite,46,0.3366,8,0.0531,56,,filled_2026-08-15
E1,wollastonite,9,0.2013,75,0.599,11,,filled_2026-08-15
E1,ytterbium,47,0.3385,99,0.6549,5,,REE_element_file
E1,yttrium,87,0.3915,99,0.6024,10,,REE_element_file
E1,zeolites (natural),70,0.3727,5.2,0.0326,60,,filled_2026-08-15
E1,zinc,2815,0.6945,32.3,0.0987,47,,v1
E1,zirconium,99,0.4027,10,0.0597,55,,v1
E2,abrasives (manufactured),98,0.4008,54.3,0.3254,17,,filled_2026-08-15
E2,aluminum,9818,0.8018,58,0.115,37,,v1
E2,antimony,653,0.5655,54.5,,,already_controlled,v1
E2,arsenic,799,0.5831,39.3,0.1639,27,,v1
E2,asbestos,535,0.5481,14,0.0633,47,,filled_2026-08-15
E2,barite,38,0.3196,24.1,0.164,26,,v1
E2,bauxite and alumina,387,0.5199,58.6,0.2813,19,,filled_2026-08-15
E2,beryllium,123,0.4204,25,0.1449,31,,v1
E2,bismuth,141,0.4323,80,,,already_controlled,v1
E2,boron,310,0.5007,6,0.03,55,,filled_2026-08-15
E2,bromine,203,0.4639,25,0.134,33,,filled_2026-08-15
E2,cadmium,455,0.534,41.7,0.1943,25,,v1
E2,cement,4286,0.7295,51,0.138,32,,filled_2026-08-15
E2,cerium,85,0.3885,88,0.5381,9,,REE_element_file
E2,cesium,134,0.4279,,,,no_share_data,v1
E2,chromium,550,0.5505,0,0,70,,v1
E2,clays,86,0.3895,,,,no_share_data,v1
E2,cobalt,2792,0.6921,1.2,0.0037,67,,v1
E2,copper,11570,0.8161,8.6,0.0158,62,,v1
E2,diamond (industrial),34,0.3101,95,0.6554,5,,diamond_term_corrected_2026-08-15
E2,diatomite,50,0.343,17,0.1117,38,,filled_2026-08-15
E2,dysprosium,269,0.4883,99,,,already_controlled,REE_element_file
E2,erbium,35,0.3126,99,0.6806,4,,REE_element_file
E2,europium,30,0.2995,98,0.6865,3,,REE_element_file
E2,feldspar,84,0.3875,8.6,0.0527,50,,v1
E2,fluorspar,24,0.2808,68.7,0.4941,11,,v1
E2,gadolinium,154,0.4399,98,,,already_controlled,REE_element_file
E2,gallium,856,0.5891,98.2,,,already_controlled,v1
E2,garnet (industrial),177,0.452,17,0.0932,42,,filled_2026-08-15
E2,gemstones,526,0.5467,,,,no_share_data,v1
E2,germanium,558,0.5518,65.4,,,already_controlled,v1
E2,gold,34503,0.9114,10.6,0.0094,64,,v1
E2,graphite (natural),1442,0.6345,65.4,,,already_controlled,v1
E2,gypsum,258,0.4847,15,0.0773,43,,filled_2026-08-15
E2,hafnium,15,0.2418,3,0.0227,58,,v1
E2,helium,843,0.5877,0.6,0.0025,69,,v1
E2,holmium,14,0.2362,99,0.7562,1,,REE_element_file
E2,indium,183,0.4549,58.9,,,already_controlled,v1
E2,iodine,264,0.4867,1,0.0051,66,,filled_2026-08-15
E2,iron and steel,1380,0.6307,54,0.1994,24,,filled_2026-08-15
E2,iron and steel scrap,69,0.3706,,,,no_share_data,v1
E2,iron and steel slag,35,0.3126,54,0.3712,14,,filled_2026-08-15
E2,iron ore,1964,0.6614,14.6,0.0494,51,,v1
E2,iron oxide pigments,127,0.4232,,,,no_share_data,v1
E2,kyanite,4,0.1404,15,0.1289,35,,filled_2026-08-15
E2,lanthanum,96,0.399,88,0.5289,10,,REE_element_file
E2,lead,95277,1,44.4,0,71,,v1
E2,lime,1580,0.6425,72,0.2574,22,,filled_2026-08-15
E2,lithium,8811,0.7923,14.6,0.0303,54,,v1
E2,lutetium,107,0.4084,99,,,already_controlled,REE_element_file
E2,magnesium compounds,5,0.1563,63.8,0.5383,8,,filled_2026-08-15
E2,magnesium metal,1440,0.6344,90,0.329,16,,v1
E2,manganese,987,0.6015,5,0.0199,59,,v1
E2,mercury,2725,0.69,85,0.2635,21,,filled_2026-08-15
E2,mica (natural),292,0.4955,25.6,0.1292,34,,v1
E2,molybdenum,694,0.5708,40,,,already_controlled,v1
E2,neodymium,390,0.5206,90,0.4314,13,,REE_element_file
E2,nickel,5778,0.7555,3.3,0.0081,65,,v1
E2,niobium,168,0.4475,0,0,72,,v1
E2,nitrogen (fixed)-ammonia,1424,0.6334,26,0.0953,41,,filled_2026-08-15
E2,peat,847,0.5881,4,0.0165,61,,filled_2026-08-15
E2,perlite,35,0.3126,10,0.0687,45,,filled_2026-08-15
E2,phosphate rock,28,0.2937,38.6,0.2726,20,,v1
E2,platinum-group metals,3868,0.7205,1,0.0028,68,,filled_2026-08-15
E2,potash,513,0.5445,15,0.0683,46,,v1
E2,praseodymium,201,0.463,90,0.4833,12,,REE_element_file
E2,pumice and pumicite,367,0.5153,3,0.0145,63,,filled_2026-08-15
E2,quartz crystal (industrial),15,0.2418,,,,no_share_data,v1
E2,rhenium,51,0.3446,4.3,0.0282,56,,v1
E2,rubidium,35,0.3126,,,,no_share_data,v1
E2,salt,8206,0.7861,22,0.0471,52,,filled_2026-08-15
E2,samarium,152,0.4388,97,,,already_controlled,REE_element_file
E2,sand and gravel,103,0.4051,,,,no_share_data,v1
E2,scandium,165,0.4459,68,,,already_controlled,filled_2026-08-15
E2,selenium,208,0.466,40.6,0.2168,23,,v1
E2,silicon,8027,0.7842,68,0.1467,30,,filled_2026-08-15
E2,silver,14287,0.8345,13.8,0.0228,57,,v1
E2,soda ash,49,0.3412,46,0.303,18,,filled_2026-08-15
E2,stone,13101,0.8269,,,,no_share_data,v1
E2,strontium,71,0.373,23.5,0.1473,29,,v1
E2,sulfur,1204,0.6188,19,0.0724,44,,filled_2026-08-15
E2,talc and pyrophyllite,160,0.4432,28,0.1559,28,,filled_2026-08-15
E2,tantalum,316,0.5023,3.9,0.0194,60,,v1
E2,tellurium,119,0.4176,53.1,,,already_controlled,v1
E2,terbium,230,0.4747,99,,,already_controlled,REE_element_file
E2,thallium,20,0.2656,,,,no_share_data,v1
E2,thorium,111,0.4116,,,,no_share_data,v1
E2,thulium,15,0.2418,99,0.7506,2,,REE_element_file
E2,tin,1822,0.6549,30.6,0.1056,39,,v1
E2,titanium,1700,0.6489,35.8,0.1257,36,,v1
E2,tungsten,542,0.5493,84.5,,,already_controlled,v1
E2,vanadium,297,0.4969,70,0.3522,15,,v1
E2,vermiculite,40,0.3239,8,0.0541,49,,filled_2026-08-15
E2,wollastonite,9,0.2008,75,0.5994,7,,filled_2026-08-15
E2,ytterbium,55,0.3511,99,0.6424,6,,REE_element_file
E2,yttrium,164,0.4454,99,,,already_controlled,REE_element_file
E2,zeolites (natural),57,0.3542,5.2,0.0336,53,,filled_2026-08-15
E2,zinc,3074,0.7005,32.3,0.0967,40,,v1
E2,zirconium,97,0.3999,10,0.06,48,,v1
